name ,main_category ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged 
The Songs of Adelaide & Abullah,Publishing,09/10/2015 11:36,1000,11/08/2015 12:12,0,failed,0,GB,0
Where is Hank?,Film & Video,26/02/2013 00:20,45000,12/01/2013 00:20,220,failed,3,US,220
ToshiCapital Rekordz Needs Help to Complete Album,Music,16/04/2012 04:24,5000,17/03/2012 03:24,1,failed,1,US,1
Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,29/08/2015 01:00,19500,04/07/2015 08:35,1283,canceled,14,US,1283
Monarch Espresso Bar,Food,01/04/2016 13:38,50000,26/02/2016 13:38,52375,successful,224,US,52375
Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,21/12/2014 18:30,1000,01/12/2014 18:30,1205,successful,16,US,1205
Chaser Strips. Our Strips make Shots their B*tch!,Food,17/03/2016 19:05,25000,01/02/2016 20:05,453,failed,40,US,453
SPIN - Premium Retractable In-Ear Headphones with Mic,Design,29/05/2014 18:14,125000,24/04/2014 18:14,8233,canceled,58,US,8233
STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Film & Video,10/08/2014 21:55,65000,11/07/2014 21:55,6240.57,canceled,43,US,6240.57
Of Jesus and Madmen,Publishing,09/10/2013 18:19,2500,09/09/2013 18:19,0,failed,0,CA,0
Lisa Lim New CD!,Music,08/04/2013 06:42,12500,09/03/2013 06:42,12700,successful,100,US,12700
The Cottage Market,Crafts,02/10/2014 17:11,5000,02/09/2014 17:11,0,failed,0,US,0
G-Spot Place for Gamers to connect with eachother & go pro!,Games,25/03/2016 22:01,200000,09/02/2016 23:01,0,failed,0,US,0
Survival Rings,Design,28/02/2015 02:10,2500,29/01/2015 02:10,664,failed,11,US,664
The Beard,Comics,08/11/2014 22:27,1500,09/10/2014 22:27,395,failed,16,US,395
Notes From London: Above & Below,Publishing,10/05/2015 21:20,3000,10/04/2015 21:20,789,failed,20,US,789
Mike Corey's Darkness & Light Album,Music,17/08/2012 14:11,250,02/08/2012 14:11,250,successful,7,US,250
Boco Tea,Food,02/06/2012 17:24,5000,03/05/2012 17:24,1781,failed,40,US,1781
CMUK. Shoes: Take on Life Feet First.,Fashion,30/12/2013 07:06,20000,25/11/2013 07:06,34268,successful,624,US,34268
Alice in Wonderland in G Minor,Theater,15/06/2014 10:09,3500,16/05/2014 10:10,650,failed,12,US,650
Mountain brew: A quest for alcohol sustainability,Food,25/02/2015 19:17,500,26/01/2015 19:17,48,failed,3,NO,6.18000816
The Book Zoo - A Mini-Comic,Comics,12/11/2014 17:15,175,23/10/2014 17:15,701.66,successful,66,US,701.66
Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,06/01/2011 23:16,10000,07/12/2010 23:16,15827,successful,147,US,15827
Superhero Teddy Bear,Crafts,05/01/2016 20:09,12000,06/12/2015 20:09,0,failed,0,GB,0
Permaculture Skills,Film & Video,14/12/2014 18:02,17757,14/11/2014 18:02,48905,successful,571,CA,43203.25114
Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,28/01/2016 16:59,100,29/12/2015 16:59,112.38,successful,27,GB,167.7003058
Daily Brew Coffee,Food,31/03/2015 18:06,3500,01/03/2015 18:06,21,failed,1,GB,32.41526106
Ledr workbook: one tough journal!,Design,08/10/2016 02:00,1000,07/09/2016 13:14,47266,successful,549,US,11253
Feather Cast Furled Fly Fishing Leaders,Design,22/08/2015 03:09,2000,23/07/2015 03:09,2000,successful,18,AU,1473.6189
BB130A,Art,24/03/2013 00:07,25000,12/02/2013 01:07,1395,failed,30,US,1395
Chris Eger Band - New Nashville Record!,Music,13/08/2014 08:59,12000,14/07/2014 22:35,13260,successful,92,US,13260
Squatch Watchers,Film & Video,23/08/2013 21:40,10000,24/07/2013 21:40,1373.37,failed,54,US,1373.37
Arrows & Sound Debut Album,Music,19/05/2012 01:04,4000,19/04/2012 01:04,8641.34,successful,157,US,8641.34
Zen in America: a film on Zen Buddhism in North America,Film & Video,21/10/2013 23:00,10000,21/09/2013 23:00,15663,successful,213,US,15663
Galaxy: Winnie and Friends,Art,27/01/2016 21:47,3000,23/12/2015 21:47,17,failed,2,US,17
Help Scott Reynolds Make a New Record!,Music,02/09/2012 18:43,15000,03/08/2012 18:43,17499.99,successful,277,US,17499.99
"""THE RETURN"" book project",Photography,13/12/2013 00:34,15000,13/11/2013 00:34,23907,successful,232,US,23907
"The Please, Please Me: Studio Premiere",Music,01/09/2012 23:36,10000,15/07/2012 03:27,12656,successful,181,US,12656
WE ARE ONE: STREET MUSIC OF NEW ORLEANS,Film & Video,01/10/2013 06:00,2500,27/08/2013 20:17,0,failed,0,US,0
Hot Chicken Takes Over.,Food,16/10/2014 05:59,40000,16/09/2014 02:31,63401,successful,855,US,63401
Star and the Snowman,Film & Video,23/02/2013 06:04,8000,24/01/2013 06:04,9401,successful,154,US,9401
Seas of Iron,Games,19/07/2013 03:16,3000,19/06/2013 03:16,8105,successful,218,US,8105
(In)visible Empire Tees,Art,02/01/2016 00:00,1200,22/11/2015 22:47,90,failed,4,US,90
I'LL SEE YOU IN MY DREAMS - narrative feature film,Film & Video,05/02/2014 00:57,60000,11/01/2014 00:57,61365.16,successful,632,US,61365.16
SkateFrames-Photo frame made from recycled skateboard wood,Art,08/05/2015 02:53,7500,08/04/2015 02:53,3,failed,3,US,3
A Teacher's Travels in China,Photography,13/05/2012 23:34,4000,18/04/2012 23:34,4866.17,successful,71,US,4866.17
Mothers Into Living Fit Yoga DVD for Moms and Babies,Film & Video,19/06/2014 17:18,11000,20/05/2014 17:18,11055,successful,51,US,11055
Mobile barbecue & catering trailer,Food,23/10/2014 20:29,13750,24/09/2014 03:35,1,failed,1,US,1
Following the Call - A Novel,Publishing,01/02/2016 08:06,13500,02/01/2016 08:06,0,failed,0,US,0
UNDERWATER,Film & Video,26/03/2012 06:00,9500,13/02/2012 19:00,9660,successful,121,US,9660
The Fanalyzers: Views from the Stands,Film & Video,18/10/2013 20:20,60000,18/09/2013 20:20,635,failed,5,US,635
Empires at Sea,Games,23/06/2015 12:47,25000,24/05/2015 12:47,37199,successful,448,US,37199
Teachers In The Sky,Film & Video,18/06/2016 07:00,250000,19/04/2016 23:53,65,failed,2,US,65
Fashion removeable decoration jewel accessory hells shoes,Fashion,13/10/2016 11:59,12000,13/09/2016 11:59,137,failed,2,IT,0
TO RUSSIA WITH LOVE AND SIMON,Art,22/06/2016 18:10,5000,23/05/2016 18:10,587,failed,8,US,587
HIIT Bottleô,Food,27/04/2015 19:33,15000,13/03/2015 18:33,124998,successful,2784,US,124998
"""JurassicJurassix"" by The Guilt",Music,09/04/2015 00:10,850,23/02/2015 00:10,485,failed,13,US,485
Safer Home,Technology,03/07/2015 05:52,50000,03/06/2015 05:52,0,failed,0,CA,0
"Pantochino Productions: ""Cinderella Skeleton, the Musical""",Theater,08/07/2011 15:08,15000,09/05/2011 15:08,15425,successful,144,US,15425
"Raise the Woof, expanding the love (Canceled)",Design,07/08/2015 21:46,15000,08/07/2015 21:46,700,canceled,6,CA,553.324254
"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",Crafts,29/04/2015 19:55,5000,30/03/2015 19:55,2,failed,1,GB,2.9752253
Gizbeeô Unlimited Removable Storage for Your Travel Photos,Technology,25/03/2016 19:30,87000,29/02/2016 20:30,2030,canceled,15,US,2030
Diposta - liberating people from their postal mailbox.,Technology,23/08/2016 13:18,100000,24/07/2016 13:18,141,failed,3,US,100
My Future Just Passed - Debut CD - Jazz Trio,Music,03/12/2014 21:11,4000,03/11/2014 21:11,4795,successful,95,US,4795
"Loot and Recruit - A quirky, combative, deck building game",Games,10/04/2015 05:59,13000,10/03/2015 13:19,2453,canceled,65,US,2453
Babe Ruth's Family Kitchen - Gourmet Hot Dogs and Condiments,Food,13/10/2015 00:59,25000,08/09/2015 00:59,0,canceled,0,US,0
VOTE (anyone but) TRUMP Candle,Design,24/08/2016 05:59,500,12/07/2016 17:31,218,failed,6,GB,174.8267591
"""It's Complicated"" by Ariana Salome",Fashion,09/06/2016 22:52,68000,10/05/2016 22:52,0,failed,0,US,0
Secular Solstice 2014,Theater,27/10/2014 00:50,7500,02/10/2014 01:50,8157.01,successful,164,US,8157.01
Uncommon Rhythm - Season One,Film & Video,13/09/2013 08:55,29700,15/08/2013 11:16,10410,failed,76,US,10410
Legacy of Svarog | a Unique 3D Action RPG and Adventure Game,Games,30/10/2015 05:33,50000,31/08/2015 06:33,1410,failed,38,US,1410
ANVIL Beard,Fashion,06/02/2015 13:00,2000,15/12/2014 19:13,61,failed,9,GB,95.87396169
AWE - Antediluvian Wars: Extermination Tactical Card Game,Games,31/08/2014 00:00,13000,01/08/2014 00:02,1811,failed,34,US,1811
Road to the Shire,Film & Video,14/02/2012 21:00,4000,11/01/2012 20:13,4045,successful,29,US,4045
Spiral Electric Skylab Recording,Music,26/02/2015 18:54,500,04/02/2015 18:54,1540,successful,31,US,1540
The Locals Only Shirt,Fashion,18/05/2012 07:59,500,01/05/2012 07:11,754.82,successful,36,US,754.82
